"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.659025000E-2,2.897675037E0,2.139528084E1,-2.053135395E0,2.168801346E1
4.659025000E-2,-8.536808193E-2,-1.036167264E0,-3.930168152E0,4.065360010E0
5.659025000E-2,-8.522860706E-2,-1.035723686E0,-3.930147171E0,4.065223765E0
6.659025000E-2,1.621307284E-1,1.238592267E-1,-9.504348755E0,9.506538420E0
7.659025000E-2,2.047656924E-1,5.190783143E-1,-9.712879181E0,9.728894761E0
8.659025000E-2,2.352923304E-1,7.584050894E-1,-9.695594788E0,9.728057311E0
9.659025000E-2,2.546347380E-1,9.859384894E-1,-9.678245544E0,9.731667399E0
1.065902500E-1,2.688958943E-1,1.205084324E0,-9.634620667E0,9.713415909E0
1.165902500E-1,2.948348224E-1,1.408762813E0,-9.586290359E0,9.693735250E0
1.265902500E-1,3.129761517E-1,1.623461843E0,-9.523685455E0,9.666135064E0
1.365902500E-1,3.496675491E-1,1.843816996E0,-9.482851028E0,9.666767409E0
1.465902500E-1,3.710569143E-1,2.057823658E0,-9.437517166E0,9.666387728E0
1.565902500E-1,3.917128146E-1,2.260322809E0,-9.380628586E0,9.657053940E0
1.665902500E-1,3.921740651E-1,2.473004341E0,-9.321794510E0,9.652222742E0
1.765902500E-1,4.515337348E-1,2.683475733E0,-9.237247467E0,9.629728215E0
1.865902500E-1,4.571819603E-1,2.898939133E0,-9.162962914E0,9.621473525E0
1.965902500E-1,4.688927829E-1,3.090435028E0,-9.077544212E0,9.600648834E0
2.065902500E-1,4.793757498E-1,3.296128273E0,-9.000275612E0,9.596834050E0
2.165902500E-1,4.911341369E-1,3.475157499E0,-8.888202667E0,9.556049343E0
2.265902500E-1,5.113149285E-1,3.667958975E0,-8.813354492E0,9.559842227E0
2.365902500E-1,5.254667401E-1,3.860202074E0,-8.708784103E0,9.540450509E0
2.465902500E-1,5.385011435E-1,4.039689064E0,-8.593846321E0,9.511217893E0
2.565902500E-1,5.456389189E-1,4.246779919E0,-8.480791092E0,9.500351523E0
2.665902500E-1,5.803072453E-1,4.421608925E0,-8.386523247E0,9.498481676E0
2.765902500E-1,5.516181588E-1,4.599880219E0,-8.258618355E0,9.469316646E0
2.865902900E-1,5.626416206E-1,4.790987015E0,-8.149992943E0,9.470612817E0
2.965902900E-1,5.772983432E-1,4.954068661E0,-8.029790878E0,9.452703911E0
3.065908080E-1,5.719397664E-1,5.108269691E0,-7.905362129E0,9.429543188E0
3.165908080E-1,5.728497505E-1,5.277419567E0,-7.798501968E0,9.433766325E0
3.265908080E-1,5.777870417E-1,5.430168629E0,-7.659264088E0,9.406641035E0
3.365908080E-1,5.700168610E-1,5.583356857E0,-7.521327972E0,9.384517435E0
3.465908080E-1,5.805433393E-1,5.731756210E0,-7.392393589E0,9.372168522E0
3.565908080E-1,5.949842334E-1,5.878064156E0,-7.274882317E0,9.371742483E0
3.665908080E-1,5.918850899E-1,6.029133797E0,-7.133358955E0,9.358717449E0
3.765908080E-1,5.641191602E-1,6.163340092E0,-7.001644611E0,9.344946162E0
3.865908080E-1,5.790098310E-1,6.287876129E0,-6.889559746E0,9.345516149E0
3.965908080E-1,5.837044120E-1,6.414609909E0,-6.761570454E0,9.338456303E0
4.065908080E-1,5.856812596E-1,6.531652451E0,-6.639398575E0,9.332047991E0
4.165908080E-1,5.610957146E-1,6.646102905E0,-6.485093594E0,9.302792653E0
4.265908080E-1,5.696557164E-1,6.760456562E0,-6.356329441E0,9.296838416E0
4.365908080E-1,5.615224242E-1,6.867400169E0,-6.222354889E0,9.284082770E0
4.465908080E-1,5.727356076E-1,6.964457989E0,-6.090740204E0,9.269779792E0
4.565908080E-1,5.650117397E-1,7.083056450E0,-5.777127266E0,9.157735877E0
4.665908080E-1,5.550511479E-1,7.179869175E0,-5.602885723E0,9.124194845E0
4.765908080E-1,-8.363661766E0,-2.824800491E1,5.775270844E1,6.483267657E1
4.865908080E-1,2.987685394E1,-7.079173279E1,4.462583542E1,8.885696945E1
4.965908080E-1,-6.668085575E0,-6.557875633E0,4.336957932E1,4.436653590E1
5.065905080E-1,-5.115724564E0,1.833574295E0,3.163854980E1,3.210187637E1
5.165905080E-1,-1.049844861E0,5.758140564E0,-4.280654907E0,7.251369762E0
5.265905080E-1,-7.173515558E-1,6.575056553E0,-6.130670071E0,9.018374435E0
